title,country,genre,director,year,duration,link,description
На гребне волны,Япония,боевик,Кэтрин Бигелоу,1991.0,1 ч 57 мин,https://www.kinopoisk.ru/film/1990/,"Таинственная банда серфингистов среди белого дня совершает ограбления банков. Полиция и ФБР поражены профессиональностью и скоростью проведения преступлений.
Следствие ведет молодой и претенциозный агент ФБР, который, рискуя жизнью, внедряется в банду и раскрывает это дело, но неожиданно для самого себя он осознает, что вернуться к нормальной жизни он уже не сможет."
Мой дикий друг,Россия,семейный,Анна Курбатова,2024.0,1 ч 40 мин,https://www.kinopoisk.ru/film/1004203/,"Семиклассник Саша Меньшиков заканчивает учебный год в новой школе и живёт со своей тётей Ниной в маленьком живописном городке. Мама Саши, известный учёный, на время своей очередной экспедиции привезла его сюда из Москвы. С одноклассниками у Саши не заладилось, после школы он часто в одиночестве гуляет на природе. Однажды в лесу Саша находит маленького лисёнка, попавшего в капкан. Узнав, что за лисёнком охотятся браконьеры, мальчик прячет его в землянке в глубине леса и начинает выхаживать. С этого начинается трогательная и полная приключений история о дружбе, ответственности и справедливости."
Битва за Севастополь,Россия,военный,Сергей Мокрицкий,2015.0,1 ч 58 мин,https://www.kinopoisk.ru/film/742026/,"Любовь под нескончаемым огнем противника, дружба с Элеонорой Рузвельт, выступление на конференции, повлиявшее на исход Второй мировой войны, желание жить и страх потерять любимого человека - справится ли со всем этим хрупкая женщина?
История Людмилы Павличенко – легендарной снайперши. Солдаты шли в бой с ее именем на устах, а враги устроили на нее охоту. На поле битвы она видела смерть и страдания, но самым серьезным испытанием для нее стала любовь, которую у нее могла забрать война."
Сияние,США,триллер,Стэнли Кубрик,1980.0,2 ч 24 мин,https://www.kinopoisk.ru/film/409/,"Джек Торренс с женой и сыном приезжает в элегантный отдалённый отель, чтобы работать смотрителем во время мертвого сезона. Торренс здесь раньше никогда не бывал. Или это не совсем так? Ответ лежит во мраке, сотканном из преступного кошмара."
Ветер крепчает,Япония,аниме,Хаяо Миядзаки,2013.0,2 ч 6 мин,https://www.kinopoisk.ru/film/693969/,"Мальчик Дзиро мечтает о полетах и красивых самолетах, способных обогнать ветер. Вот только пилотом ему не стать — он с рождения близорук. Но Дзиро не расстается с мечтой о небе, он начинает придумывать идеальный самолет и со временем становится одним из лучших авиаконструкторов мира. На пути к успеху он не только встретит много интересных людей, переживет Великое землетрясение в Токио и жестокие войны, но и обретет любовь своей жизни – прекрасную Наоко."
Кролик Джоджо,Новая Зеландия,комедия,Тайка Вайтити,2019.0,1 ч 48 мин,https://www.kinopoisk.ru/film/726838/,"Гитлеровская Германия. У немного стеснительного 10-летнего Йоханнеса Бетслера, члена Гитлерюгенда и большого поклонника официального курса, есть лучший друг — воображаемый Адольф Гитлер. Хоть мальчик сам ещё никак не научится завязывать шнурки, он отправляется на выходные в военно-патриотический лагерь, где, не решившись убить кролика, получает прозвище Кролик Джоджо. А после, пытаясь доказать окружающим свою смелость, парень случайно подрывается на гранате. Но вскоре у Джоджо появится более веская причина для волнения, чем собственные шрамы, — он выясняет, что мама прячет в доме еврейскую девушку."
День радио,Россия,комедия,Дмитрий Дьяченко,2008.0,1 ч 38 мин,https://www.kinopoisk.ru/film/402979/,"Один день из жизни модной московской радиостанции. Не самый лучший день — рушатся все планы, все валится из рук… И именно в тот момент, когда на станции в прямом эфире вот-вот должен начаться «живой» марафон, а популярные российские рок-группы придут в эфир, чтобы поддержать… впрочем, это уже неважно, потому что тема марафона перехвачена конкурентами и активно обсуждается в эфире «вражеской» радиостанции. Но марафон отменять нельзя!
Рабочий день обещает стать последним для всего творческого состава, если срочно не найдется новая тема. А тем временем из Находки вышел маленький катер с лучшими представителями Благовещенского областного цирка — медведь, обезьяна, два пуделя, петух, козел, кабан, которые плывут на гастроли в Японию. И если бы кто-то из команды катера не слил налево полбака солярки, а еще кто-то — еще полбака, то они бы, возможно, даже и доплыли бы. 
А так… …а так дрейфующий в море жалкий кораблик в течение нескольких минут, благодаря креативным умам сотрудников радиостанции становится гигантским научным лайнером, на борту которого находится сотня уникальных животных, многие из которых сохранились чуть ли не в единственном экземпляре. И этот лайнер терпит чудовищное бедствие в водах Японского моря — ну и, конечно, в прямом эфире «Как Бы Радио». Мир на грани зоокатастрофы!!! Свои комментарии дает сама Брижит Бардо, а в борьбу за спасение генофонда включаются МЧС и МинОбороны. И, разумеется, лучшие представители отечественной рок-музыки…"
В случае убийства набирайте «М»,США,фильм-нуар,Альфред Хичкок,1954.0,1 ч 45 мин,https://www.kinopoisk.ru/film/9028/,"Тони Вендис, бывший плейбой и звезда большого тенниса, прожигающий деньги своей красавицы-жены Марго, решается на преступление, когда узнает, что может лишиться ее миллионов, так как Марго увлеклась американским писателем детективных романов Марком Холлидэем.
Тони придумывает план идеального убийства, находит надежного исполнителя и организует себе безупречное алиби. Он предусматривает все, кроме необычного поведения Марго и аналитических способностей Марка..."
Доспехи Бога 2: Операция Кондор,Гонконг,боевик,Джеки Чан,1991.0,1 ч 38 мин,https://www.kinopoisk.ru/film/24701/,"Азиатский Ястреб возвращается! На этот раз ему предстоит новая работа, из-за которой наш герой опять приезжает в Мадрид. Некий загадочный миллионер предлагает Ястребу заняться поисками нацистских сокровищ, которые спрятаны в глубине африканской пустыни. Он передает ключ к сокровищнице, соглашается финансировать экспедицию и отправляет с Ястребом попутчицу - специалиста по Африке Аду.
Во время своего пребывания в Мадриде Ястреб знакомится с немецкой девушкой Эльзой, которая разыскивает своего деда, пропавшего во время войны в Африке. После ряда приключений Эльза тоже присоединяется к экспедиции."
Легенда о пианисте,Италия,драма,Джузеппе Торнаторе,1998.0,2 ч,https://www.kinopoisk.ru/film/8335/,"В первый день XX века на пароходе «Вирджиния» в коробке из-под лимонов был найден младенец. Мальчик рос и проводил свою жизнь на громадном океанском лайнере, курсировавшем между Америкой и Европой, и он ни разу не сходил на берег.
Загадочным образом научившись играть на рояле, Дэнни Будманн Т.Д. Лемон 1900-й стал настоящим виртуозом и развлекал публику, играя в ресторанном оркестре. С ним связаны удивительные истории, а его жизнь превратилась в легенду."
Апгрейд,Австралия,фантастика,Ли Уоннелл,2018.0,1 ч 40 мин,https://www.kinopoisk.ru/film/1009784/,"2046 год. Разнообразные технологии участвуют во всех аспектах человеческой жизни. Но в этом технологичном мире Грей — один из немногих людей, кто любит работать руками. Он восстанавливает и чинит старые автомобили. Однажды, возвращаясь от клиента, Грей с женой попадают в аварию, а после — в руки банды отморозков, в результате чего женщина погибает, а Грей оказывается парализованным ниже шеи. Тот самый богатый клиент предлагает несчастному поставить экспериментальный имплант Stem, который может полностью восстановить подвижность."
Семьянин,США,фэнтези,Бретт Рэтнер,2000.0,2 ч 5 мин,https://www.kinopoisk.ru/film/664/,"Судьба в облике чернокожего Санты ставит перед Джеком непростой выбор. Он может быть президентом инвестиционной компании, жить в роскошной квартире, раскатывать на последней модели «Феррари» и при этом оставаться холостяком. А может стать семьянином, но работать продавцом автопокрышек, покупать одежду в супермаркете и ездить на минивэне."
Бегущий по лезвию,США,фантастика,Ридли Скотт,1982.0,1 ч 57 мин,https://www.kinopoisk.ru/film/403/,"Ноябрь 2019 года. Бывший охотник на андроидов Рик Декард восстановлен в полиции Лос-Анджелеса для поиска возглавляемой Роем Батти группы репликантов, совершившей побег из космической колонии на Землю. В полиции считают, что андроиды пытаются встретиться с Эндолом Тайреллом — руководителем корпорации, которая разрабатывает кибернетический интеллект. Декард получает задание выяснить мотивы репликантов и уничтожить их."
Психо,США,триллер,Альфред Хичкок,1960.0,1 ч 49 мин,https://www.kinopoisk.ru/film/344/,"Мэрион Крэйн недовольна романом с разведенным мужчиной, который уделяет ей внимание только наездами. Поэтому девушка крадет на работе крупную сумму и в спешке бежит из города. Мэрион останавливается на ночь в мотеле, которым управляет Норман Бейтс — юноша, страдающий от гнёта своей горячо любимой, но деспотичной матери."
Блеф,Италия,комедия,Серджио Корбуччи,1976.0,1 ч 50 мин,https://www.kinopoisk.ru/film/10179/,"Белль Дюк имеет старые счеты с Филиппом Бэнгом, который отбывает свой срок за решёткой. Для того чтобы поквитаться с Филиппом, Белль Дюк вступает в сговор с другим аферистом по имени Феликс, чтобы тот организовал побег Филиппа Бэнга из тюрьмы. Побег удаётся, но парочка заодно обманывает и Белль Дюк, исчезнув прямо из-под её носа. Выясняется, что и Филипп Бэнг, в свою очередь, не прочь отомстить Белль Дюк. Для этого он задумывает грандиозную мистификацию, сродни покерному блефу."
Не/смотря ни на что,Германия,комедия,Марк Ротемунд,2017.0,1 ч 51 мин,https://www.kinopoisk.ru/film/887535/,"История, основанная на реальных событиях, о талантливом молодом человеке, который больше всего на свете мечтает о стажировке в самом престижном отеле Мюнхена. Ничто, даже внезапное ухудшение зрения, которое он сохраняет в тайне, не сможет встать у него на пути. Немного удачи, помощь друзей и вера в себя – вот рецепт его успеха."
Свадьба в Малиновке,СССР,мюзикл,Андрей Тутышкин,1967.0,1 ч 35 мин,https://www.kinopoisk.ru/film/44045/,"Идёт гражданская война. В украинской деревне то и дело меняется власть. Чтобы разделаться с бандой головорезов, красный командир уговаривает девушку Яринку разыграть её свадьбу с атаманом..."
Уроки фарси,Россия,драма,Вадим Перельман,2020.0,2 ч 8 мин,https://www.kinopoisk.ru/film/1209777/,"1942 год, оккупированная Европа. Оказавшись в концлагере, бельгиец еврейского происхождения Жиль Кремье выдает себя за перса — для него это единственная возможность остаться в живых. Довольные таким редким уловом немецкие солдаты приводят Жиля к концлагерному повару Клаусу Коху, который мечтает, как только закончится война, уехать в Иран и открыть там ресторан. Кох ищет настоящего перса, который научит его говорить на фарси. Так начинается история Жиля Кремье и Клауса Коха — еврея и немца, узника и тюремщика, учителя и ученика."
Линкольн для адвоката,США,криминал,Брэд Фурман,2011.0,1 ч 54 мин,https://www.kinopoisk.ru/film/461939/,"Микки Холлер – блестящий и удачливый адвокат из Лос-Анджелеса, чей яркий имидж и образ жизни отлично дополняет его любимая машина «Линкольн». Очередное дело – нападение богатого клиента Луи Руле на проститутку сначала казалось легким, и он без труда добился оправдательного приговора для подзащитного. Но вскоре Микки понимает, что его клиент скрывает правду. Пока Холлер пытается вывести Руле на чистую воду, его подставляют по-крупному, и теперь уже угроза тюремного заключения нависает над самим Холлером."
Марсианин,США,фантастика,Ридли Скотт,2015.0,2 ч 24 мин,https://www.kinopoisk.ru/film/841700/,"Марсианская миссия «Арес-3» в процессе работы была вынуждена экстренно покинуть планету из-за надвигающейся песчаной бури. Инженер и биолог Марк Уотни получил повреждение скафандра во время песчаной бури. Сотрудники миссии, посчитав его погибшим, эвакуировались с планеты, оставив Марка одного.
Очнувшись, Уотни обнаруживает, что связь с Землёй отсутствует, но при этом полностью функционирует жилой модуль. Главный герой начинает искать способ продержаться на имеющихся запасах еды, витаминов, воды и воздуха ещё 4 года до прилёта следующей миссии «Арес-4»."
Римские каникулы,США,драма,Уильям Уайлер,1953.0,1 ч 58 мин,https://www.kinopoisk.ru/film/497/,"В Рим с официальным визитом прибывает юная принцесса Анна. Дни её расписаны по минутам – приемы, посещения фабрик, интервью… в общем, тоска! Она совсем девчонка, ей хочется свободы и она убегает из дворца на улицу, где гуляют, поют и целуются жители Вечного города.
Увы, незадолго до побега доктор сделал ей укол снотворного и принцесса засыпает на скамейке. А мимо проходит возвращающийся домой после вечера за карточным столом американский журналист Джо Брэдли. Рано утром по заданию редактора он должен быть на пресс-конференции у принцессы Анны, которую он в глаза никогда не видел…"
Пиджак,США,триллер,Джон Мэйбери,2004.0,1 ч 42 мин,https://www.kinopoisk.ru/film/47382/,"Ветеран войны в Персидском заливе Джек Старкс поправляется после ранения в голову. Он возвращается в родной штат Вермонт, но ранение дает о себе знать приступами амнезии. Когда Старкса обвиняют в убийстве полицейского, его направляют на психиатрическую экспертизу.
Доктор Беккер использует экспериментальные методы лечения, вводя Старксу новейшие препараты. После инъекций Старксу надевают смирительную рубашку и помещают в подвал. В наркотическом опьянении мысли Старкса устремляются в будущее, где он встречает Джеки и узнает, что ему осталось жить четыре дня. Вместе с Джеки он ищет возможность убежать от судьбы."
Хвостатый переполох,Корея Южная,комедия,Ким Дон-мин,2024.0,1 ч 55 мин,https://www.kinopoisk.ru/film/4624998/,"Истории людей, чью жизнь меняет любовь к собакам: домовладельца, которого раздражает прикармливающая бродячих псов хозяйка ветклиники; известной архитекторши на пенсии, которая заводит дружбу с доставщиком еды; удочерённой бездетной парой маленькой девочки; музыканта, чья девушка уехала в Африку и оставила ему золотистого ретривера."
Идеальный дворец Фердинанда Шеваля,Франция,драма,Нильс Тавернье,2017.0,1 ч 45 мин,https://www.kinopoisk.ru/film/1077074/,"Каждый день почтальон Фердинанд Шеваль проделывал путь в 25-30 километров, доставляя почту в окрестные деревни. Однажды он споткнулся и упал, и его внимание привлек камень причудливой формы. Шеваль забирает «камень преткновения», и ему приходит в голову идея строительства сказочного дворца для своей маленькой дочки.
В течение последующих 33 лет он в свободное от работы время на купленном в Отриве небольшом клочке земли возводит удивительное строение, которое называет «идеальным дворцом»."
Весна на Заречной улице,СССР,драма,Марлен Хуциев,1956.0,1 ч 30 мин,https://www.kinopoisk.ru/film/45748/,"Лучший сталевар завода Саша Савченко не привык к отказам женщин. Решив по-быстрому покорить молодую учительницу Татьяну Левченко из школы рабочей молодёжи, он неожиданно получает отказ. Поначалу он пытается играть в безразличие, но позже Саша внезапно понимает, что к нему впервые пришло настоящее, глубокое чувство."
Герцогиня,Великобритания,триллер,Сол Дибб,2008.0,1 ч 45 мин,https://www.kinopoisk.ru/film/393872/,"Джорджиана с юных лет была взбалмошной, своенравной и очень обаятельной. Чтобы усмирить яркую и непокорную дочь, мать выдает её замуж за герцога графства Девоншир. Однако он холоден к юной и пылкой девушке, и Джорджиана решает найти счастье в другом: она становится законодательницей мод, получает положение в обществе и политическую силу."
Дыши ради нас,Великобритания,драма,Энди Серкис,2017.0,1 ч 58 мин,https://www.kinopoisk.ru/film/980347/,"Его манеры, настойчивость и великолепное чувство юмора с первого взгляда покорили неприступную Диану. После свадьбы молодожены отправляются в путешествие, где Робин тяжело заболевает. И теперь только любовь способна подарить ему вторую жизнь…"
Прибытие,США,фантастика,Дени Вильнёв,2016.0,1 ч 56 мин,https://www.kinopoisk.ru/film/718811/,"Неожиданное появление неопознанных летающих объектов в разных точках планеты повергает мир в трепет. Намерения пришельцев не ясны — вооружённые силы всего мира приведены в полную боевую готовность, а лучшие умы человечества пытаются понять, как разговаривать с непрошеными гостями. Правительство обращается за помощью к лингвисту Луизе Бэнкс и физику Яну Доннели, чтобы предотвратить глобальную катастрофу и найти общий язык с пришельцами. Отныне судьба человечества находится в их руках."
Шерлок Холмс,США,боевик,Гай Ричи,2009.0,2 ч 8 мин,https://www.kinopoisk.ru/film/420923/,"Величайший в истории сыщик Шерлок Холмс вместе со своим верным соратником Ватсоном вступают в схватку, требующую нешуточной физической и умственной подготовки, ведь их враг представляет угрозу для всего Лондона."
Жизнь короля,США,драма,Джейк Голдбергер,2013.0,1 ч 41 мин,https://www.kinopoisk.ru/film/738097/,"Юджин Браун только что вышел из тюрьмы, где отсидел 17 лет за вооружённое ограбление. Теперь у него мало друзей, совсем нет денег, и ему пришлось работать уборщиком в школе, в которой ученики - «просто наказание». Однажды директор попросила его подежурить в группе продлённого дня. Желая чем-нибудь занять ребят, Юджин начинает учить их игре в шахматы. Криминальная сторона жизни напоминает Юджину о себе, но он помнит, что в жизни, как и в шахматах, нужно думать, прежде чем делать ход."
Доспехи Бога,Гонконг,боевик,Джеки Чан,1986.0,1 ч 28 мин,https://www.kinopoisk.ru/film/24705/,"Азиатский ястреб — так назвали героя Джеки в Европе. Когда он похитил в Африке ритуальный меч, то не предполагал, что это начало опасных приключений. Оказывается, что меч — часть древних доспехов Бога, и если их уничтожить, то в мире будут править злые силы."
Собачья жизнь: Друзья навек,Китай,семейный,Ван Сяоле,2023.0,1 ч 44 мин,https://www.kinopoisk.ru/film/5420887/,"Когда в семье наступают непростые времена, на помощь приходит очаровательный щенок по кличке Кола. Новый друг способен вдохнуть жизнь и научить людей искренней любви и преданности."
Бэтмен: Начало,США,боевик,Кристофер Нолан,2005.0,2 ч 20 мин,https://www.kinopoisk.ru/film/47237/,"В детстве юный наследник огромного состояния Брюс Уэйн оказался свидетелем убийства своих родителей, и тогда он решил бороться с преступностью. Спустя годы он отправляется в путешествие по миру, чтобы найти способ восстановить справедливость. Обучение у мудрого наставника боевым искусствам дает ему силу и смелость. Вернувшись в родной город, Уэйн становится Бэтменом и ведет борьбу со злом."
Сёстры,Россия,драма,Сергей Бодров мл.,2001.0,1 ч 23 мин,https://www.kinopoisk.ru/film/41109/,"Дина и Света ненавидят друг друга, хотя в них течет одна кровь. Вышедший на свободу отец Дины оказывается в тяжёлой ситуации. Бандиты собираются похитить его ребёнка, и он вынужден прятать обеих девочек. Но убежище оказывается ненадёжным, и детям приходится бежать. Столкнувшись с жестокостью жизни, девочки станут настоящими сестрами."
Отпуск по обмену,США,мелодрама,Нэнси Майерс,2006.0,2 ч 16 мин,https://www.kinopoisk.ru/film/104927/,"Айрис Симпкинс, автор популярной свадебной колонки в лондонской «Daily Telegraph», живет в очаровательном коттедже в английской провинции. Она влюблена в мужчину, который любит другую. Далеко от нее в Южной Калифорнии живет Аманда Вудс, владелица процветающего рекламного агентства, занимающегося созданием роликов для фильмов. Она вдруг обнаруживает, что любимый человек ей изменяет.
Две незнакомые друг с другом женщины, живущие на расстоянии 10 000 километров друг от друга, оказываются в схожей ситуации. И они находят друг друга. В Интернете, на сайте обмена жильем на время отпуска. Перед Рождеством Айрис и Аманда решают отдохнуть от своих проблем, договорившись поменяться континентами и пожить друг у друга в течение двух недель. Айрис переезжает в дом Аманды в солнечной Калифорнии, а Аманда приезжает в засыпанную снегом английскую провинцию…"
Богемская рапсодия,Великобритания,биография,Брайан Сингер,2018.0,2 ч 14 мин,https://www.kinopoisk.ru/film/568289/,"Чествование группы Queen, их музыки и их выдающегося вокалиста Фредди Меркьюри, который бросил вызов стереотипам и победил условности, чтобы стать одним из самых любимых артистов на планете. Фильм прослеживает головокружительный путь группы к успеху благодаря их культовым песням и революционному звуку, практически распад коллектива, поскольку образ жизни Меркьюри выходит из-под контроля, и их триумфальное воссоединение накануне концерта Live Aid, ставшим одним из величайших выступлений в истории рок-музыки."
Отец,Великобритания,драма,Флориан Зеллер,2020.0,1 ч 37 мин,https://www.kinopoisk.ru/film/1262160/,"Энтони уже далеко не молод и живет один в лондонской квартире. Он считает, что прекрасно справляется со всем сам, и помощь ему не нужна, но его дочь Энн противоположного мнения. Она собралась переезжать в Париж и хочет найти отцу сиделку. Энтони упирается всеми возможными способами, но в его квартире начинают происходить странности — в гостиной оказывается посторонний мужчина, дочь вдруг меняет внешность, и куда-то постоянно пропадают любимые часы."
Мгла,США,ужасы,Фрэнк Дарабонт,2007.0,2 ч 6 мин,https://www.kinopoisk.ru/film/273302/,"Маленький городок накрывает сверхъестественный туман, отрезая людей от внешнего мира. Группе героев, оказавшихся в этот момент в супермаркете, приходится вступить в неравный бой с обитающими в тумане монстрами."
Парк Юрского периода,США,фантастика,Стивен Спилберг,1993.0,2 ч 7 мин,https://www.kinopoisk.ru/film/7121/,"Экспансивный богач и профессор уговаривает двух палеонтологов приехать на остров у побережья Коста-Рики, где он устроил парк Юрского периода. Парк населен давно вымершими динозаврами, воссозданными профессором по образцам крови из ископаемого комара, которые должны стать гвоздем программы нового аттракциона. До открытия остается несколько дней, а один из сотрудников, пытаясь украсть бесценные эмбрионы, нарушает систему охраны, что вместе с грозовым ливнем приводит к отключению электричества и защитных барьеров. Как раз в тот момент, когда палеонтологи с внуками профессора отправились на пробную экскурсию."
Одиннадцать друзей Оушена,США,криминал,Стивен Содерберг,2001.0,1 ч 56 мин,https://www.kinopoisk.ru/film/770/,"После выхода из тюрьмы вора Дэнни Оушена не проходит и 24 часов, а он уже планирует организовать самое сложное ограбление казино в истории. Он хочет украсть 160 млн американских долларов из трёх самых преуспевающих казино Лас-Вегаса. Все эти казино принадлежат элегантному и в то же время жестокому дельцу Терри Бенедикту, который только и мечтает о том, как встретится с бывшей женой Дэнни Оушена - Тесс.
Всего за одну ночь Дэнни подбирает команду из одиннадцати «специалистов», способных совершить эту дерзкую кражу. В команде Оушена оказываются первоклассный карточный шулер, молодой искусный вор-карманник и гениальный разрушитель. Чтобы совершить этот безумный и сложный грабёж, Оушену придётся рисковать своей жизнью."
Город грехов,США,боевик,Фрэнк Миллер,2005.0,2 ч 4 мин,https://www.kinopoisk.ru/film/77443/,"Город грехов — это бездна преступлений. Здесь полиция коррумпирована, а улицы смертельно опасны. Тем не менее один из жителей пытается найти убийцу своей подруги. Другой, фотограф, случайно становится свидетелем убийства полицейского и старается скрыть преступление."
Гаттака,США,фантастика,Эндрю Никкол,1997.0,1 ч 46 мин,https://www.kinopoisk.ru/film/5012/,"Добро пожаловать в Гаттаку - совершенный мир будущего. Здесь каждый генетически запрограммирован, и печальная судьба ожидает тех, кто был рожден в любви, а не в лаборатории. Такова судьба Винсента Фримана, молодого человека, получившего при рождении ярлык «не пригоден».
Винсент обладает весомыми недостатками: он подвержен страстям, он поддается эмоциям, и он верит в то, что его мечты сбудутся. Вот почему он покупает личность другого человека, пытаясь обмануть власти и стать уважаемым членом Корпорации Будущего Гаттака.
И когда он уже на пути к свободе, убийство грозит раскрытием его реальной личности. Несмотря на свою невиновность, Винсенту есть что скрывать и есть что терять. Но так трудно остаться в живых, когда в тебе живут два человека…"
Она,США,мелодрама,Спайк Джонс,2013.0,2 ч 6 мин,https://www.kinopoisk.ru/film/577488/,"Теодор - одинокий писатель, покупает новую техническую разработку - операционную систему, призванную исполнять любое желание пользователя. К удивлению Теодора, вскоре между ним и операционной системой возникает роман."
Спортлото-82,СССР,комедия,Леонид Гайдай,1982.0,1 ч 29 мин,https://www.kinopoisk.ru/film/43949/,На один из билетов «Спортлото» выпадает крупный выигрыш. Однако билет оказывается потерянным. На его поиски бросается толпа желающих заполучить куш.
Дом из песка и тумана,США,драма,Вадим Перельман,2003.0,2 ч 6 мин,https://www.kinopoisk.ru/film/7611/,"Для Кэти Николо последняя надежда на возвращение к жизни – это небольшое бунгало в Северной Калифорнии. В результате бюрократической ошибки её выселяют, и Кэти оказывается на улице. Ей остаётся лишь беспомощно наблюдать, как дом продают на аукционе за мизерную цену. Но она готова на всё, лишь бы доказать свое право на владение им."
Индиана Джонс и последний крестовый поход,США,приключения,Стивен Спилберг,1989.0,2 ч 7 мин,https://www.kinopoisk.ru/film/472/,"На этот раз бесстрашный Индиана разыскивает самую таинственную реликвию в истории человечества — Святой Грааль. В этом археологу помогает его отец, профессор Джонс старший. Теперь под бдительным оком своего отца Индиане предстоит совершить много благородных подвигов и потрясающих открытий. В новых странствиях храброму археологу доведется добыть чашу, которую держал в руках Иисус Христос и получить автограф… самого Адольфа Гитлера."
Труп невесты,США,мультфильм,Тим Бёртон,2005.0,1 ч 17 мин,https://www.kinopoisk.ru/film/77548/,"Действие развивается в европейской деревушке XIX века. Главного героя – молодого человека Виктора – силы тьмы утаскивают в преисподнюю и женят там на таинственном Трупе Невесты, в то время как его настоящая невеста Виктория ожидает своего жениха в мире живых.Несмотря на то, что проживание в Царстве мертвых оказывается много интересней, чем его привычный викторианский образ жизни, Виктор понимает, что свою единственную любовь он не променяет ни на что ни в одном из альтернативных миров…"
